Gene.featureType	Gene.primaryIdentifier	Gene.secondaryIdentifier	Gene.organism.shortName	Gene.symbol	Gene.name	Gene.sgdAlias
ORF	S000002509	YDR102C	S. cerevisiae	""	""	""
ORF	S000002510	YDR103W	S. cerevisiae	STE5	STErile	HMD3|NUL3
ORF	S000002511	YDR104C	S. cerevisiae	SPO71	SPOrulation	""
ORF	S000002512	YDR105C	S. cerevisiae	TMS1	""	""
ORF	S000002513	YDR106W	S. cerevisiae	ARP10	Actin-Related Protein	""
ORF	S000002514	YDR107C	S. cerevisiae	TMN2	TransMembrane Nine	""
ORF	S000002515	YDR108W	S. cerevisiae	TRS85	TRapp Subunit	GSG1|MUM1
ORF	S000002516	YDR109C	S. cerevisiae	""	""	putative phosphotransferase
ORF	S000002517	YDR110W	S. cerevisiae	FOB1	FOrk Blocking less	HRM1|replication fork barrier binding protein FOB1
ORF	S000002518	YDR111C	S. cerevisiae	ALT2	ALanine Transaminase	alanine transaminase ALT2
ORF	S000002519	YDR112W	S. cerevisiae	IRC2	Increased Recombination Centers	""
ORF	S000002520	YDR113C	S. cerevisiae	PDS1	Precocious Dissociation of Sisters	securin
ORF	S000002521	YDR114C	S. cerevisiae	""	""	""
ORF	S000002522	YDR115W	S. cerevisiae	MRX14	Mitochondrial oRganization of gene eXpression (MIOREX)	bL34m|putative mitochondrial 54S ribosomal protein
ORF	S000002523	YDR116C	S. cerevisiae	MRPL1	Mitochondrial Ribosomal Protein, Large subunit	mitochondrial 54S ribosomal protein MRPL1|uL1m
ORF	S000002524	YDR117C	S. cerevisiae	TMA64	Translation Machinery Associated	RBF64
ORF	S000002525	YDR118W	S. cerevisiae	APC4	Anaphase Promoting Complex	anaphase promoting complex subunit 4
ORF	S000002526	YDR119W	S. cerevisiae	VBA4	Vacuolar Basic Amino acid transporter	""
ORF	S000002527	YDR120C	S. cerevisiae	TRM1	tRNA Methyltransferase	tRNA (guanine26-N2)-dimethyltransferase
ORF	S000002528	YDR121W	S. cerevisiae	DPB4	DNA Polymerase B (II) subunit	DNA polymerase epsilon noncatalytic subunit
ORF	S000002529	YDR122W	S. cerevisiae	KIN1	KINase	serine/threonine protein kinase KIN1
ORF	S000002530	YDR123C	S. cerevisiae	INO2	INOsitol requiring	DIE1|SCS1
ORF	S000002531	YDR124W	S. cerevisiae	""	""	""
ORF	S000002532	YDR125C	S. cerevisiae	ECM18	ExtraCellular Mutant	alpha/beta hydrolase family protein
ORF	S000002533	YDR126W	S. cerevisiae	SWF1	Spore Wall Formation	palmitoyltransferase SWF1|PSL10
ORF	S000002534	YDR127W	S. cerevisiae	ARO1	AROmatic amino acid requiring	pentafunctional protein ARO1p
ORF	S000002535	YDR128W	S. cerevisiae	MTC5	Maintenance of Telomere Capping	SEA3
ORF	S000002536	YDR129C	S. cerevisiae	SAC6	Suppressor of ACtin	ABP67|fimbrin
ORF	S000002537	YDR130C	S. cerevisiae	FIN1	Filaments In between Nuclei	""
ORF	S000002538	YDR131C	S. cerevisiae	""	""	""
ORF	S000002539	YDR132C	S. cerevisiae	MRX16	Mitochondrial oRganization of gene eXpression (MIOREX)	""
ORF	S000002540	YDR133C	S. cerevisiae	""	""	""
ORF	S000002542	YDR135C	S. cerevisiae	YCF1	Yeast Cadmium Factor	ATP-binding cassette glutathione S-conjugate transporter YCF1
ORF	S000002543	YDR136C	S. cerevisiae	VPS61	Vacuolar Protein Sorting	""
ORF	S000002544	YDR137W	S. cerevisiae	RGP1	Reduced Growth Phenotype	""
ORF	S000002545	YDR138W	S. cerevisiae	HPR1	HyPerRecombination	TRF1
ORF	S000002546	YDR139C	S. cerevisiae	RUB1	Related to UBiquitin	NEDD8 family protein RUB1
ORF	S000002547	YDR140W	S. cerevisiae	MTQ2	Methyltransferase	S-adenosylmethionine-dependent methyltransferase
ORF	S000002548	YDR141C	S. cerevisiae	DOP1	homolog of A. nidulans DOPey	""
ORF	S000002549	YDR142C	S. cerevisiae	PEX7	PEroXin	PAS7|PEB1
ORF	S000002550	YDR143C	S. cerevisiae	SAN1	Sir Antagonist	ubiquitin-protein ligase SAN1
ORF	S000002551	YDR144C	S. cerevisiae	MKC7	Multicopy suppressor of Kex2 Cold sensitivity	aspartyl protease|YPS2
ORF	S000002552	YDR145W	S. cerevisiae	TAF12	TATA binding protein-Associated Factor	TAF61|TAF68|TafII61|TafII68
ORF	S000002553	YDR146C	S. cerevisiae	SWI5	SWItching deficient	DNA-binding transcription factor SWI5
ORF	S000002554	YDR147W	S. cerevisiae	EKI1	Ethanolamine KInase	bifunctional choline kinase/ethanolamine kinase EKI1
ORF	S000002555	YDR148C	S. cerevisiae	KGD2	alpha-KetoGlutarate Dehydrogenase	dihydrolipoyl transsuccinylase
ORF	S000002556	YDR149C	S. cerevisiae	""	""	""
ORF	S000002557	YDR150W	S. cerevisiae	NUM1	NUclear Migration	PAC12
ORF	S000002558	YDR151C	S. cerevisiae	CTH1	Cysteine-Three-Histidine	putative mRNA-binding protein CTH1
ORF	S000002559	YDR152W	S. cerevisiae	GIR2	Genetically Interacts with Ribosomal genes	""
ORF	S000002560	YDR153C	S. cerevisiae	ENT5	Epsin N-Terminal homology	""
ORF	S000002561	YDR154C	S. cerevisiae	""	""	""
ORF	S000002562	YDR155C	S. cerevisiae	CPR1	Cyclosporin A-sensitive Proline Rotamase	CPH1|CYP1|peptidylprolyl isomerase CPR1
ORF	S000002563	YDR156W	S. cerevisiae	RPA14	RNA Polymerase A	A14|DNA-directed RNA polymerase I subunit RPA14
ORF	S000002564	YDR157W	S. cerevisiae	""	""	""
